Price,Address,Listing URL,Short Address,Zip,City,County,State,Beds,Baths,Footage,Raw Property Details,Price Per Sq. Ft.,Date Scraped,Latitude,Longitude,Broker Name,Status,Type,Lot Area,Lot Area Units,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Last Date Sold,Last Date Sold Price,Most Recent Date Listed for Sale,Most Recent Price Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Premium Status,Broker Phone (Premium Data),Listed By (Premium Data),Lister Phone (Premium Data),Agent Name (Premium Data),Agent Phone (Premium Data),Agent Email (Premium Data),Co-Agent Name (Premium Data),Co-Agent Phone (Premium Data),Buyer Agent Fee (Premium Data),Buyer Agent Name (Premium Data),Association Name (Premium Data),Association Fee (Premium Data),Monthly HOA Fees (Premium Data),Year Built (Premium Data),Stories (Premium Data),Heating (Premium Data),Cooling (Premium Data),Fireplace (Premium Data),Flooring (Premium Data),Foundation (Premium Data),Garage Capacity (Premium Data),Sewer (Premium Data),Subdivision (Premium Data),Property Condition (Premium Data),Roof Type (Premium Data),Virtual Tour (Premium Data),MLS Source (Premium Data),Parcel Id (Premium Data),Favorite Count (Premium Data),Page Views (Premium Data),Tax Paid (Most Recent) (Premium Data),Has Private Pool (Premium Data),Pool Features (Premium Data),Elementary School Rating (Premium Data),Middle School Rating (Premium Data),High School Rating (Premium Data),Transit Score (Premium Data),Walk Score (Premium Data),Bike Score (Premium Data),Description (Premium Data)
"$7,850","60 Carmelita St, San Francisco, CA 94117","https://www.zillow.com/homedetails/60-Carmelita-St-San-Francisco-CA-94117/2073338535_zpid/","60 Carmelita St","94117","San Francisco","San Francisco County","CA","2","2","1160","2 bds | 2 ba | 1160 sqft","$6.77","Fri, 2026-04-17","37.770035","-122.43402","","FOR_RENT","APARTMENT","1160","sqft","","","","$6,567","$2,077,700","","","","$","","","","","","14 hours","","Elite-tier data preview","","Lisa McCarrel (Listed by management company)","","Lisa McCarrel","","","","","","","","","","","","","","","Carpet, Hardwood, Tile","","","","","","","","Zillow Rentals","","","","","","","8","1","3","92","97","81","Sophisticated, top-floor flat in coveted Duboce Park neighborhood.

Located a half-block from the park on a peaceful, tree-lined cul-de-sac, this exquisite two-bedroom, two-bath home is situated on the top floor of a boutique two-unit building but lives with the privacy and essence of a single-family residence.

Bursting with charm, this home has been meticulously remodeled to balance high-end aesthetics with modern efficiency. Enjoy an open-concept great room where the living, kitchen, and dining areas flow seamlessly beneath soaring 13-foot vaulted ceilings. Natural light pours through French doors that lead to your private deck the perfect transition to a shared, sunny, and beautifully landscaped backyard. Whether you're hosting friends by the gas fire pit or enjoying the peace of the shared garden sitting area, this is an urban oasis designed for entertaining.
The gourmet chef's kitchen is a functional masterpiece, featuring a striking copper range hood, custom two-tone cabinetry with under-cabinet lighting, and premium quartz countertops. Beyond the interior, the location is unparalleled: you are steps from the iconic ""Painted Ladies"" at Alamo Square, the vibrant cafes of the Castro and Haight Street, and minutes from major medical centers and transit hubs. This is a rare opportunity to enjoy a tech-forward, luxury retreat in one of San Francisco's most storied locations.

Features:
- Chef's Kitchen: High-end energy-efficient appliances, pot filler, copper range hood, and built-in island with bar seating.
- Modern Tech: Dedicated solar panels, Ring doorbell/intercom, Nest thermostats, - CAT 6 cabling, and USB outlets.
- Climate & Comfort: In-floor radiant heating, double-pane windows, and an operable skylight for natural ventilation.
- Premium Finishes: Luxury vinyl floors, carpeted bedrooms, and bathrooms featuring designer tile and a dual-sink vanity in the primary suite.
- Outdoor Living: Private deck overlooking a shared landscaped backyard with a gas fire pit and sitting area.
- Storage & Parking: Dedicated storage unit and bicycle storage included; ample street parking available (garage space available for an additional fee).
- Laundry: In-unit washer and dryer.

Location Highlights
- Parks: Steps from Duboce Park; minutes to Buena Vista, Golden Gate, and Alamo Square Parks.
- Commute: Convenient access to BART, MUNI, and the 101/I-80 freeway ramps.
- Proximity: Easy reach to UCSF Medical Centers (Mission Bay, Parnassus, Davies, and Mt. Zion) and major universities including Cal State and Hastings School of Law.

 **Square footage is estimated for purposes of marketing and may not be exact. If exact square footage is a concern, unit/property should be independently measured**

Note: This unit is subject to the San Francisco Rent Ordinance.

- Monthly Rent: $7850/month
- Lease Duration: Minimum 12 months.
- Security Deposit: 1x monthly rent (with 750+ FICO and strong references).
- Pets: Negotiable, considered on an individual basis (size, number, and behavior).
- Policy: Non-smoking building and unit; Renter's Insurance required.
- Parking: Garage Parking available for an additional $500/month
- Application: $40 fee per applicant (18+); unit delivered unfurnished.Show more"
"$7,750","(undisclosed Address), San Francisco, CA 94112","https://www.zillow.com/homedetails/San-Francisco-CA-94112/442344600_zpid/","(Undisclosed Address)","94112","San Francisco","San Francisco County","CA","2","2","0","2 bds | 2 ba ","","Fri, 2026-04-17","","","","FOR_RENT","APARTMENT","","","","","","$3,021","","","","","$","","","","","","15","","Elite-tier data preview","","Homads (Listed by listing agent)","","","","","","","","","","","","","","","","","","","","","","","","","Zillow Rentals","","","","","","","8","3","8","80","81","59","Hey there! Welcome to San Francisco!Discover the perfect blend of comfort and convenience in our spacious 2-bedroom, 2-bathroom home. This is the ultimate retreat for families, friends, or any large group looking to enjoy quality time together.Whether youre planning a family reunion, a group vacation, or a getaway with friends, our home offers the perfect setting.Show more"
"$7,500","(undisclosed Address), San Francisco, CA 94131","https://www.zillow.com/homedetails/San-Francisco-CA-94131/459838847_zpid/","(Undisclosed Address)","94131","San Francisco","San Francisco County","CA","3","3","2250","3 bds | 3 ba | 2250 sqft","$3.33","Fri, 2026-04-17","","","","FOR_RENT","SINGLE_FAMILY","2250","sqft","","","","$7,821","$2,476,300","","","","$","","","","","","89","","Elite-tier data preview","","Emily Benkert (Listed by brokerage)","","Emily Benkert","","","","","","","","","","","","","","","","","","","","","","","Zillow Rentals","","","","","","","6","2","10","83","86","69","FULLY FURNISHED home available on a flexible month-to-month basis, 30 days minimum. The home is available May - the end of the year.

Enjoy a stylish experience at this centrally-located home in Glen Park. With 3 bedrooms and 2 1/2 bathrooms, full kitchen and outdoor area. You will enjoy all San Francisco has to offer with this as your home. The house emulates the charm of San Francisco.

Please note there are many stairs in the house. There are three levels, a sun room and a great outdoor space with a bbq grill, patio furniture and a heating lamp.

The queen bedroom with ensuite full bathroom is located just off the front door. Up 14 stairs is the living area/tv room/kitchen and 1/2 bathroom. Then up another 15 stairs is the master with the cal king bed, and the room with 2 twin beds, washer and dryer, and full bathroom. The bathroom is split on this level. The toilet and sink are in the master bedroom. The shower and another sink are in the bedroom with the twin beds.

There is a cottage on the back of the property that has a full time tenant. He accesses his unit from the back street, you may only see him occasionally. He is friendly and has a wealth of knowledge about San Francisco. Feel free to say hello but be respectful that he lives on the property.

A few notes, hints and anomalies about our 1887 house!
This is a very happy house, with a very happy history. Of course, there have been many remodels over the years. But here a couple of interesting facts.

Originally the entry was where the window seat is now. Very steep stairs switched back and forth from the street.

The little cottage in the back was the carriage house. The entrance for the carriages and horses opened on Ohlone Way. During WWII, the little cottage housed 9-12 soldiers for over 4 years. The owners at the time answered a call from the Armed Services for accommodations for Soldiers who were being staged in San Francisco for departure to the Pacific Theater. This amazing couple fed and housed the soldiers while raising their own family of 6!
Parking on the street in front of the house has a 2 hour limit 7am-6pm, Mon-Fri. You will have to park 1-2 blocks away for full time parking or you will have to find a paid parking structure for your car.

A $100 pet fee (per month) for small dogs under 25 pounds only.

Guests are required to sign a lease.

There is a 1.8% fee on the monthly rate that is applied to all bookings.Show more"
"$7,500","1338 Eddy St, San Francisco, CA 94115","https://www.zillow.com/homedetails/1338-Eddy-St-San-Francisco-CA-94115/82785442_zpid/","1338 Eddy St","94115","San Francisco","San Francisco County","CA","3","2","1900","3 bds | 2 ba | 1900 sqft","$3.95","Fri, 2026-04-17","37.781937","-122.429726","","FOR_RENT","TOWNHOUSE","1900","sqft","","","","$6,554","$1,535,700","$1,383,238","","","$","Fri, 2018-10-19","$1,240,000","Fri, 2018-08-17","$1,249,000","","2","","Elite-tier data preview","","Agnes Huang (Listed by listing agent)","","Agnes Huang","","","","","","","","","","","","Forced Air, Heat Pump","Central Air, Window Unit","","Carpet, Hardwood, Tile","","","","","","","","Zillow Rentals","0733033","","","$17,167","","","6","7","2","90","98","98","This charming 3- story home features spacious 3bd/2ba situated in a gated community. 

Lower level:
- Master suite with access to the back patio 
- Secured one car garage 

Main level:
- Living room 
- Full size kitchen 
- Dining area 
- Balcony to the community courtyard

Upper Level:
- Two bedrooms 
- Large size of closets 
_ Jack & Jill bathroom 

Great city living is top notch neighborhood with restaurants, shops, schools, hospitals and parks....Convenience wtih public transportation.

Owner pays HOA monthly due; Tenant to be responsible for all utilities, included but not limited to gas, water & sewer, electricity, garbage, internet, TV cable and main line.Show more"
"$7,500","1450 Franklin St #505, San Francisco, CA 94109","https://www.zillow.com/homedetails/1450-Franklin-St-505-San-Francisco-CA-94109/461745237_zpid/","1450 Franklin St #505","94109","San Francisco","San Francisco County","CA","2","2","1326","2 bds | 2 ba | 1326 sqft","$5.66","Fri, 2026-04-17","37.788055","-122.423256","","FOR_RENT","APARTMENT","1326","sqft","","","","","","","","","$","","","","","","12 hours","","Elite-tier data preview","415-449-8867","Christine Ko (Listed by management company)","(415) 449-8867","Christine Ko","415-449-8867","","","","","","","","","","","Forced Air","Central Air","","Hardwood, Tile","","","","","","","","Zillow Rentals","","","","","","","6","7","7","85","99","82","Experience refined city living in this beautifully designed 2-bedroom, 2-bath residence offering over 1,300 square feet of thoughtfully curated space. Expansive loft-style windows and an open-concept layout fill the home with natural light, creating a bright and airy atmosphere perfect for both entertaining and everyday living. The modern kitchen is equipped with high-end appliances and sleek finishes, while both bathrooms showcase contemporary, designer details. The spacious primary suite features a walk-in closet and en-suite bath. Additional features include an in-unit washer/dryer, central AC & heat, exclusive use balcony, and a dedicated parking space. Enjoy the perks of luxury high-rise living with access to a shared rooftop offering breathtaking city views and a front desk for convenience. 1450 Franklin, newly built in 2017 is in a prime location just 2 blocks to Whole Foods and within easy reach of vibrant SF neighborhoods: Pac Heights, Hayes Valley, Nob Hill, and Japantown. Enjoy the plethora of dining, bar, and retail options on Fillmore & Polk streets, or relax at nearby Lafayette Park.

Showing availability: April 16-19 & April 24-26
1 Car Parking Included
Security Deposit is equivalent to 1.5 month's rent
$45 non-refundable application fee through Able Screening
12 month lease minimum preferred
Move in/Move out fees required by building HOA
Renter's insurance required
Utilities included: water & sewer, gas, and trash
**Photos are from previous listing when vacant. Currently Tenant occupied with move out date end of May**Show more"
"$7,500","1387 Oak St #1, San Francisco, CA 94117","https://www.zillow.com/homedetails/1387-Oak-St-1-San-Francisco-CA-94117/459975918_zpid/","","94117","San Francisco","","CA","3","2","1200","3 bds | 2 ba | 1200 sqft","$6.25","Fri, 2026-04-17","37.772404","-122.44208","","FOR_RENT","APARTMENT","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$7,450","(undisclosed Address), San Francisco, CA 94109","https://www.zillow.com/homedetails/San-Francisco-CA-94109/15073855_zpid/","","94109","San Francisco","","CA","2","2","1268","2 bds | 2 ba | 1268 sqft","$5.88","Fri, 2026-04-17","","","","FOR_RENT","APARTMENT","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$7,400","22 Mountview Ct, San Francisco, CA 94131","https://www.zillow.com/homedetails/22-Mountview-Ct-San-Francisco-CA-94131/15131956_zpid/","","94131","San Francisco","","CA","4","2","1900","4 bds | 2 ba | 1900 sqft","$3.89","Fri, 2026-04-17","37.747746","-122.45019","","FOR_RENT","SINGLE_FAMILY","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$7,330","Alchemy, 200 Buchanan St APT 116, San Francisco, CA 94102","https://www.zillow.com/apartments/san-francisco-ca/alchemy/65fGFR/","","94102","San Francisco","","CA","2","2","1078","2 bds | 2 ba | 1078 sqft","$6.8","Fri, 2026-04-17","37.771793","-122.42663","","FOR_RENT","APARTMENT","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$7,250","251 Arkansas St #3, San Francisco, CA 94107","https://www.zillow.com/homedetails/251-Arkansas-St-3-San-Francisco-CA-94107/2101988890_zpid/","","94107","San Francisco","","CA","2","2","1600","2 bds | 2 ba | 1600 sqft","$4.53","Fri, 2026-04-17","37.7631","-122.39834","","FOR_RENT","APARTMENT","","","","","","","","","","","$","","","","","","","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
